year,Base case cost,Modeled biomass for heat (pellet)
2017,124415.993328,137797.145232
2018,136265.287876,147031.746298
2019,156051.737876,163273.070759
2020,165714.887876,171109.994624
2021,172156.987876,176275.79019
2022,173706.231101,176786.847503
2023,177314.471101,179594.918291
2024,176384.55565,178024.826164
2025,179919.91565,180768.206007
2026,183897.19565,183879.532269
2027,183568.710198,182766.876351
2028,186165.570198,184739.183453
2029,186055.973423,183774.939385
2030,188174.423423,185354.034558
2031,192411.323423,188665.465408
2032,192005.397972,187415.422611
2033,196151.197972,190642.52729
2034,200296.997972,193872.900282
2035,198733.95252,191631.393722
2036,202788.65252,194776.975331
