year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,30240.0,22359.7898822
2018,30240.0,22359.7898822
2019,30240.0,22359.7898822
2020,30240.0,22359.7898822
2021,30240.0,22359.7898822
2022,30240.0,22359.7898822
2023,30240.0,22359.7898822
2024,30240.0,22359.7898822
2025,30240.0,22359.7898822
2026,30240.0,22359.7898822
2027,30240.0,22359.7898822
2028,30240.0,22359.7898822
2029,30240.0,22359.7898822
2030,30240.0,22359.7898822
2031,30240.0,22359.7898822
2032,,
2033,,
2034,,
2035,,
2036,,
