year,Base case cost,Modeled solar power (pv)
2016,88608.1228283,89196.7233792
2017,105533.269885,106082.249847
2018,118660.082414,119176.136402
2019,135611.522758,136089.411207
2020,143588.671156,144042.270825
2021,149571.532454,150004.249966
2022,153560.106653,153975.26908
2023,156551.537302,156950.967738
2024,159044.396176,159429.167832
2025,161537.25505,161907.714618
2026,165027.257474,165382.352124
2027,168018.688123,168359.4619
2028,170511.546998,170839.019741
2029,173502.977647,173816.786753
2030,175497.264746,175799.078579
2031,179485.838945,179773.275448
2032,182975.841369,183249.891877
2033,186465.843793,186726.818905
2034,190454.417992,190701.969034
2035,192448.705091,192685.729382
