year,Base case cost,Modeled water and wastewater efficiency
2017,45569.7460565,40154.052471
2018,48325.5891761,41794.5287649
2019,51928.6209265,44009.0173914
2020,53623.9421458,44946.9967067
2021,54895.238706,45604.804031
2022,55742.639742,45982.3746934
2023,56378.2679735,46221.5190543
2024,56907.9371279,46393.9501559
2025,57437.491217,46570.9092878
2026,58178.6867039,46894.7013117
2027,58813.6221326,47151.7512483
2028,59342.6088868,47341.4642561
2029,59977.6736747,47605.8501297
2030,60400.6315497,47732.0068206
2031,61247.2629402,48146.1939959
