year,Base case cost,Modeled non-residential energy efficiency
2017,262414.962942,255839.214591
2018,276266.159626,266876.399412
2019,294379.262982,281624.300674
2020,302903.076326,288094.951071
2021,309295.936334,292742.619091
2022,313557.843006,295566.806918
2023,316754.27301,297489.139589
2024,319417.96468,298970.197942
2025,322081.65635,300470.573941
2026,325810.824688,302911.926003
2027,329007.254692,304910.645224
2028,331670.946362,306466.299819
2029,334867.376366,308500.579294
2030,336998.329702,309629.905114
2031,341260.236374,312620.208672
