year,Base case diesel consumed,"Galena and ruby (melozitna river, low head)",Ruby (grayling creek)
2021,49857.1774847,0.0,17657.0913114
2022,49857.1774847,0.0,17657.0913114
2023,49857.1774847,0.0,17657.0913114
2024,49857.1774847,0.0,17657.0913114
2025,49857.1774847,0.0,17657.0913114
2026,49857.1774847,0.0,17657.0913114
2027,49857.1774847,0.0,17657.0913114
2028,49857.1774847,0.0,17657.0913114
2029,49857.1774847,0.0,17657.0913114
2030,49857.1774847,0.0,17657.0913114
2031,49857.1774847,0.0,17657.0913114
2032,49857.1774847,0.0,17657.0913114
2033,49857.1774847,0.0,17657.0913114
2034,49857.1774847,0.0,17657.0913114
2035,49857.1774847,0.0,17657.0913114
2036,49857.1774847,0.0,17657.0913114
2037,49857.1774847,0.0,17657.0913114
2038,49857.1774847,0.0,17657.0913114
2039,49857.1774847,0.0,17657.0913114
2040,49857.1774847,0.0,17657.0913114
2041,49857.1774847,0.0,17657.0913114
2042,49857.1774847,0.0,17657.0913114
2043,49857.1774847,0.0,17657.0913114
2044,49857.1774847,0.0,17657.0913114
2045,49857.1774847,0.0,17657.0913114
2046,49857.1774847,0.0,17657.0913114
2047,49857.1774847,0.0,17657.0913114
2048,49857.1774847,0.0,17657.0913114
2049,49857.1774847,0.0,17657.0913114
2050,49857.1774847,0.0,17657.0913114
2051,49857.1774847,0.0,17657.0913114
2052,49857.1774847,0.0,17657.0913114
2053,49857.1774847,0.0,17657.0913114
2054,49857.1774847,0.0,17657.0913114
2055,49857.1774847,0.0,17657.0913114
2056,49857.1774847,0.0,17657.0913114
2057,49857.1774847,0.0,17657.0913114
2058,49857.1774847,0.0,17657.0913114
2059,49857.1774847,0.0,17657.0913114
2060,49857.1774847,0.0,17657.0913114
2061,49857.1774847,0.0,17657.0913114
2062,49857.1774847,0.0,17657.0913114
2063,49857.1774847,0.0,17657.0913114
2064,49857.1774847,0.0,17657.0913114
2065,49857.1774847,0.0,17657.0913114
2066,49857.1774847,0.0,17657.0913114
2067,49857.1774847,0.0,17657.0913114
2068,49857.1774847,0.0,17657.0913114
2069,49857.1774847,0.0,17657.0913114
2070,49857.1774847,0.0,17657.0913114
