year,annotation,line losses
2002,,0.14
2003,,-1.931
2004,,-0.027
2005,,0.197
2006,,-24.161
2007,,-inf
2008,,
2009,,-1.139
2010,,0.131
2011,,0.111
2012,,0.038
2013,,0.091
2014,,0.285
2015,,0.287
2016,start of forecast,0.2212
2017,,0.2212
2018,,0.2212
2019,,0.2212
2020,,0.2212
2021,,0.2212
2022,,0.2212
2023,,0.2212
2024,,0.2212
2025,,0.2212
2026,,0.2212
2027,,0.2212
2028,,0.2212
2029,,0.2212
2030,,0.2212
2031,,0.2212
2032,,0.2212
2033,,0.2212
2034,,0.2212
2035,,0.2212
2036,,0.2212
2037,,0.2212
2038,,0.2212
2039,,0.2212
2040,,0.2212
