year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.08
2004,,2.04,2.08
2005,,2.88,4.15
2008,,4.49,5.55
2009,,4.01,6.15
2010,,3.04,4.1
2011,,3.61,4.55
2012,,4.19,5.45
2013,,4.36,5.92
2014,,4.36,5.96
2016,start of forecast,1.78,3.33
2017,,2.12,3.67
2018,,2.38,3.93
2019,,2.72,4.27
2020,,2.88,4.43
2021,,3.0,4.55
2022,,3.08,4.63
2023,,3.14,4.69
2024,,3.19,4.74
2025,,3.24,4.79
2026,,3.31,4.86
2027,,3.37,4.92
2028,,3.42,4.97
2029,,3.48,5.03
2030,,3.52,5.07
2031,,3.6,5.15
2032,,3.67,5.22
2033,,3.74,5.29
2034,,3.82,5.37
2035,,3.86,5.41
2036,,3.94,5.49
2037,,3.99,5.54
2038,,4.06,5.61
2039,,4.12,5.67
2040,,4.21,5.76
