year,Base case diesel consumed,Modeled residential energy efficiency
2017,43074.2976259,39674.660527
2018,43074.2976259,39674.660527
2019,44096.8420131,40697.2049143
2020,44096.8420131,40697.2049143
2021,44096.8420131,40697.2049143
2022,44096.8420131,40697.2049143
2023,44096.8420131,40697.2049143
2024,44096.8420131,40697.2049143
2025,44096.8420131,40697.2049143
2026,44096.8420131,40697.2049143
2027,44096.8420131,40697.2049143
2028,44096.8420131,40697.2049143
2029,44096.8420131,40697.2049143
2030,44096.8420131,40697.2049143
2031,45119.3864004,41719.7493016
2032,45119.3864004,41719.7493016
2033,45119.3864004,41719.7493016
2034,45119.3864004,41719.7493016
2035,45119.3864004,41719.7493016
2036,45119.3864004,41719.7493016
