year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8300.82700605,5395.53755394
2018,8298.50975516,5394.03134086
2019,8296.39626254,5392.65757065
2020,8294.30074859,5391.29548658
2021,8292.46159716,5390.10003815
2022,8290.92075849,5389.09849302
2023,8290.89012817,5389.07858331
2024,8290.72832013,5388.97340808
2025,8289.91262118,5388.44320377
2026,8288.12341051,5387.28021683
2027,8285.23417154,5385.4022115
2028,8282.74046332,5383.78130116
2029,8281.32148009,5382.85896206
2030,8279.0042292,5381.35274898
2031,8277.39680286,5380.30792186
