year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,847.95,198420.0,0.0,198420.0
2004,,847.95,537635.0,0.0,537635.0
2005,,847.95,699082.0,0.0,699082.0
2006,,847.95,20246.0,0.0,20246.0
2007,,847.95,0.0,0.0,0.0
2008,,847.95,0.0,0.0,0.0
2009,,847.95,247320.0,0.0,247320.0
2010,,847.95,663226.0,0.0,663226.0
2011,,847.95,743147.0,0.0,743147.0
2012,,847.95,701082.0,0.0,701082.0
2013,,847.95,677691.0,0.0,677691.0
2014,,847.95,678940.0,0.0,678940.0
2015,,847.95,671984.0,0.0,671984.0
2016,start of forecast,847.95,652000.0,8294.0,643706.0
2017,,847.95,652000.0,8294.0,643706.0
2018,,847.95,653000.0,8294.0,644706.0
2019,,847.95,653000.0,8294.0,644706.0
2020,,847.95,653000.0,8294.0,644706.0
2021,,847.95,653000.0,8294.0,644706.0
2022,,847.95,653000.0,8294.0,644706.0
2023,,847.95,653000.0,8294.0,644706.0
2024,,847.95,653000.0,8294.0,644706.0
2025,,847.95,653000.0,8294.0,644706.0
2026,,847.95,653000.0,8294.0,644706.0
2027,,847.95,653000.0,8294.0,644706.0
2028,,847.95,653000.0,8294.0,644706.0
2029,,847.95,653000.0,8294.0,644706.0
2030,,847.95,653000.0,8294.0,644706.0
2031,,847.95,653000.0,8294.0,644706.0
2032,,847.95,653000.0,8294.0,644706.0
2033,,847.95,653000.0,8294.0,644706.0
2034,,847.95,653000.0,8294.0,644706.0
2035,,847.95,653000.0,8294.0,644706.0
2036,,847.95,653000.0,8294.0,644706.0
2037,,847.95,653000.0,8294.0,644706.0
2038,,847.95,653000.0,8294.0,644706.0
2039,,847.95,653000.0,8294.0,644706.0
2040,,847.95,653000.0,8294.0,644706.0
