year,Base case cost,Modeled residential energy efficiency
2017,361889.975261,324187.388328
2018,389544.387625,344855.871435
2019,422006.386125,367587.468469
2020,435422.0469,376512.174722
2021,442561.81571,380408.476376
2022,438070.163778,373421.84971
2023,437663.698474,371268.902092
2024,427863.221639,359971.440416
2025,426812.296781,357174.033243
2026,418111.94759,346477.704265
2027,416378.653792,342997.928152
2028,413450.836618,338573.126137
2029,402456.59187,325832.399074
2030,389224.937911,311353.257748
2031,387890.448124,307773.2907
2032,385399.344347,303286.207135
2033,383401.440313,299042.82584
2034,371554.989853,284950.898119
2035,366485.292395,278384.21582
2036,364070.762852,273474.711542
