year,Base case diesel consumed,Modeled residential energy efficiency
2017,50650.5476018,34173.1342089
2018,52689.42541,36212.0120172
2019,53708.8643142,37231.4509213
2020,54728.3032183,38250.8898255
2021,55747.7421225,39270.3287296
2022,56767.1810266,40289.7676338
2023,57786.6199308,41309.2065379
2024,58806.0588349,42328.6454421
2025,59825.497739,43348.0843462
2026,60844.9366432,44367.5232503
2027,61864.3755473,45386.9621545
2028,63903.2533556,47425.8399628
2029,63903.2533556,47425.8399628
2030,65942.1311639,49464.717771
2031,66961.570068,50484.1566752
2032,67981.0089722,51503.5955793
2033,69000.4478763,52523.0344835
2034,70019.8867805,53542.4733876
2035,71039.3256846,54561.9122918
2036,73078.2034929,56600.7901
