year,Base case cost,Modeled residential energy efficiency
2017,497784.844969,462486.958343
2018,539233.276751,498122.180384
2019,583396.407029,534687.699529
2020,609215.040233,556396.433561
2021,630846.976068,574769.15257
2022,649030.502221,590378.741711
2023,665533.522851,604662.943199
2024,680268.639323,617533.759109
2025,696149.90378,631410.333952
2026,714236.065571,647186.071414
2027,731525.673919,662353.284979
2028,757187.936913,686245.411837
2029,765657.931711,692473.126186
2030,790756.704289,716010.373157
2031,810008.181217,733062.378619
2032,829492.721173,750368.102069
2033,849210.324155,767927.059412
2034,870307.138151,786720.151742
2035,887023.290355,801810.915245
2036,919702.740637,832224.665869
