year,annotation,Average Load
2003,,134.0
2004,,136.0
2005,,127.0
2006,,136.0
2007,,132.0
2008,,129.0
2009,,133.0
2010,,152.0
2011,,168.0
2012,,155.0
2013,,147.0
2014,start of forecast,158.0
2015,,158.0
2016,,159.0
2017,,159.0
2018,,159.0
2019,,159.0
2020,,160.0
2021,,160.0
2022,,160.0
2023,,160.0
2024,,161.0
2025,,161.0
2026,,161.0
2027,,161.0
2028,,162.0
2029,,162.0
2030,,162.0
2031,,162.0
2032,,163.0
2033,,163.0
2034,,163.0
2035,,163.0
2036,,164.0
2037,,164.0
2038,,164.0
2039,,165.0
2040,,165.0
