year,Base case diesel consumed,Modeled diesel efficiency
2019,12140.5348253,11036.8498411
2020,12140.5348253,11036.8498411
2021,12140.5348253,11036.8498411
2022,12140.5348253,11036.8498411
2023,12140.5348253,11036.8498411
2024,12140.5348253,11036.8498411
2025,12140.5348253,11036.8498411
2026,12140.5348253,11036.8498411
2027,12140.5348253,11036.8498411
2028,12140.5348253,11036.8498411
2029,12140.5348253,11036.8498411
2030,12140.5348253,11036.8498411
2031,12140.5348253,11036.8498411
2032,12140.5348253,11036.8498411
2033,12140.5348253,11036.8498411
2034,12140.5348253,11036.8498411
2035,12140.5348253,11036.8498411
2036,12140.5348253,11036.8498411
2037,12140.5348253,11036.8498411
2038,12140.5348253,11036.8498411
