year,Base case cost,Modeled wind power
2019,723231.006435,942142.993196
2020,755917.049626,960636.869209
2021,778005.614203,970955.004666
2022,800229.334195,982699.000919
2023,816838.353151,990115.167144
2024,830659.432207,995462.966823
2025,845399.999435,1001319.06508
2026,858676.143358,1005577.75598
2027,870889.735664,1009200.97695
2028,878431.839194,1008858.16192
2029,895121.37627,1016956.02448
2030,902482.314031,1016987.72006
2031,920153.884604,1026335.0964
2032,932440.087,1030144.38491
2033,949308.63311,1038662.0493
2034,961420.858854,1042546.47159
2035,972977.365789,1047122.47497
2036,987405.206391,1053560.0823
2037,998006.998476,1057413.37299
2038,1013822.33882,1065183.2681
