year,Base case diesel consumed,Modeled solar power
2020,143710.465708,141968.659118
2021,143279.118638,141551.2465
2022,143926.139244,142212.090083
2023,144573.15985,142872.823082
2024,145220.180456,143533.446382
2025,145507.74517,143834.504969
2026,145292.071634,143632.217355
2027,145148.289277,143501.713832
2028,144716.942207,143083.539365
2029,145076.398099,143456.06248
2030,144860.724564,143253.35163
2031,145363.962813,143769.448862
2032,144788.833385,143207.075547
2033,144932.615742,143363.511966
2034,144357.486314,142800.935369
2035,144573.15985,143029.061312
2036,144357.486314,142825.740565
2037,144429.377493,142909.885709
2038,144213.703958,142706.368108
2039,143782.356887,142287.079724
