year,Base case cost,Wesley creek,Kogoluktuk river,Shungnak river,Cosmos creek,Cosmos hills hydroelectric design & permitting,Dahl creek
2020,755917.049626,,,,,3023116.54883,
2021,778005.614203,1105609.8701,2068119.92996,4155020.04781,1259701.66875,2964631.99305,1009707.86413
2022,800229.334195,1095784.24979,2027095.23822,4067006.01403,1241278.2607,2912969.6058,1007101.80539
2023,816838.353151,1085130.61716,1987721.16534,3982588.23464,1223084.46136,2862347.71244,1002656.65511
2024,830659.432207,1074281.79074,1949671.02813,3900958.87627,1205286.67138,2812897.2801,997463.213302
2025,845399.999435,1062567.35023,1910369.48712,3818605.04686,1186284.77514,2762965.95035,991764.628731
2026,858676.143358,1048686.09966,1868975.09259,3734890.72114,1165006.32504,2711472.53938,984034.114782
2027,870889.735664,1035214.91331,1828997.64262,3653760.1468,1144488.68691,2661454.70157,976395.081537
2028,878431.839194,1019628.00311,1788371.70377,3573354.38389,1122434.95669,2610607.60116,966096.046854
2029,895121.37627,1010275.24137,1753070.57474,3498482.82981,1106033.90778,2566060.75819,962628.066773
2030,902482.314031,996316.565164,1715552.34795,3423181.99835,1086064.5387,2518637.71493,953558.35821
2031,920153.884604,988646.356313,1682916.78738,3352703.29266,1071565.23452,2477292.49752,951605.854234
2032,932440.087,974836.705854,1644143.21153,3276691.48436,1050800.5722,2430300.48503,943661.116812
2033,949308.63311,965939.471949,1610745.23247,3206869.13782,1035051.60591,2388936.65033,940550.072198
2034,961420.858854,952608.2544,1573365.59417,3133859.92196,1014969.51483,2343837.81749,932928.165294
2035,972977.365789,943404.371686,1542446.49425,3069001.34566,1000039.95231,2304510.0936,928447.231408
2036,987405.206391,933010.955088,1508877.74996,3001337.15627,983090.343613,2263698.26903,923614.731484
2037,998006.998476,923459.961252,1478464.16903,2938482.2755,968003.788594,2225341.01954,918641.770462
2038,1013822.33882,913955.339432,1446143.99591,2873301.23536,951896.962687,2186464.40146,914784.367036
2039,1022292.55747,901760.160237,1413426.49084,2809342.71798,934115.858849,2146479.22118,907256.839241
2040,1036947.57419,891661.089853,1381305.94281,2745756.58854,917591.646143,2108235.25167,902670.023699
2041,1032789.38843,876126.66215,1349807.61299,2686207.70872,898497.603229,2068031.5024,889848.876993
2042,1030190.52233,862418.184779,1320509.38745,2629516.36795,881312.939127,2030231.8907,878790.088095
2043,1027591.65623,848970.088819,1291836.9279,2574092.81906,864470.129532,1993257.29614,867929.578559
2044,1024992.79013,835776.271758,1263775.56837,2519907.34903,847961.162458,1957088.38296,857262.701347
2045,1026032.33657,826469.186415,1239949.39861,2470569.35263,835416.625937,1925344.68034,850423.330698
2046,1023953.24369,814285.960928,1213587.37974,2419293.44055,820071.82703,1891250.69577,840649.982843
2047,1024473.01691,804938.417187,1190393.35814,2371769.4452,807636.809258,1860505.92645,833655.835217
2048,1021354.37759,792183.726063,1164116.71586,2321733.06274,791867.006751,1826855.50705,823199.382508
2049,1019275.28471,780694.426375,1139422.38579,2273835.86147,777433.262363,1794960.22278,813954.456264
2050,1010958.91318,763188.399776,1109020.82172,2220775.24352,757051.801488,1757526.47688,798640.200604
2051,1010958.91318,754214.127252,1087453.25091,2177079.69042,745269.487683,1729091.541,791806.329385
2052,1010958.91318,745450.189204,1066391.16995,2134408.25167,733763.321811,1701323.04882,785132.626995
2053,1010958.91318,736891.656024,1045822.73167,2092736.92511,722526.831793,1674205.38089,778615.339559
2054,1010958.91318,728533.71341,1025736.36604,2052042.26999,711553.696936,1647723.28313,772250.801003
2055,1010958.91318,720371.66008,1006120.77461,2012301.39588,700837.744934,1621861.85955,766035.431324
2056,1010958.91318,712400.904879,986964.923619,1973491.94852,690372.948062,1596606.5631,759965.734375
2057,1010958.91318,704616.96423,968258.037825,1935592.09747,680153.419836,1571943.18758,754038.29593
2058,1010958.91318,697015.45976,949989.594837,1898580.52452,670173.411895,1547857.86015,748249.781877
2059,1010958.91318,689592.115494,932149.318346,1862436.41003,660427.310316,1524337.03241,742596.93608
2060,1010958.91318,682342.755836,914727.173276,1827139.42311,650909.63296,1501367.47398,737076.578837
2061,1010958.91318,675263.303103,897713.359872,1792669.70961,641615.026245,1478936.26477,731685.605012
2062,1010958.91318,668349.774987,881098.307584,1759007.87974,632538.261801,1457030.78684,726420.982092
2063,1010958.91318,661598.282704,864872.670628,1726134.9991,623674.234047,1435638.71862,721279.748787
2064,1010958.91318,655005.02854,849027.322083,1694032.57669,615017.956968,1414748.02705,716259.013151
2065,1010958.91318,648566.303829,833553.349033,1662682.55509,606564.561458,1394346.96124,711355.95105
2066,1010958.91318,642278.48658,818442.04687,1632067.29889,598309.292212,1374424.04495,706567.804354
2067,1010958.91318,636138.040162,803684.916128,1602169.58833,590247.505989,1354968.07237,701891.879935
2068,1010958.91318,630141.510409,789273.65552,1572972.60511,582374.667817,1335968.09899,697325.547456
2069,1010958.91318,624285.524382,775200.158979,1544459.92649,574686.349369,1317413.43768,692866.238442
2070,1010958.91318,618566.788007,761456.509963,1516615.51367,567178.225858,,688511.444466
