year,Base case cost,Modeled solar power
2020,755917.049626,763090.844811
2021,778005.614203,784610.119996
2022,800229.334195,806345.530869
2023,816838.353151,822545.328108
2024,830659.432207,836000.676784
2025,845399.999435,850351.054636
2026,858676.143358,863229.75192
2027,870889.735664,875071.768286
2028,878431.839194,882283.904785
2029,895121.37627,898603.08981
2030,902482.314031,905666.79067
2031,920153.884604,922984.947459
2032,932440.087,934910.371259
2033,949308.63311,951426.664847
2034,961420.858854,963194.985237
2035,972977.365789,974477.522875
2036,987405.206391,988577.136961
2037,998006.998476,998919.31939
2038,1013822.33882,1014406.38397
2039,1022292.55747,1022615.89565
