year,Base case diesel consumed,Modeled wind power
2019,144357.486314,111307.958449
2020,143710.465708,110660.937843
2021,143279.118638,110229.590773
2022,143926.139244,110876.611379
2023,144573.15985,111523.631985
2024,145220.180456,112170.652591
2025,145507.74517,112458.217305
2026,145292.071634,112242.543769
2027,145148.289277,112098.761412
2028,144716.942207,111667.414342
2029,145076.398099,112026.870234
2030,144860.724564,111811.196699
2031,145363.962813,112314.434948
2032,144788.833385,111739.30552
2033,144932.615742,111883.087877
2034,144357.486314,111307.958449
2035,144573.15985,111523.631985
2036,144357.486314,111307.958449
2037,144429.377493,111379.849628
2038,144213.703958,111164.176093
