year,Base case diesel consumed,Wesley creek,Kogoluktuk river,Shungnak river,Cosmos creek,Cosmos hills hydroelectric design & permitting,Dahl creek
2020,143710.465708,,,,,0.0,
2021,143279.118638,22286.2653175,0.0,0.0,0.0,-431.347070661,47527.1344161
2022,143926.139244,22933.2859235,647.020605991,647.020605991,647.020605991,215.67353533,48174.1550221
2023,144573.15985,23580.3065295,1294.04121198,1294.04121198,1294.04121198,862.694141321,48821.1756281
2024,145220.180456,24227.3271354,1941.06181797,1941.06181797,1941.06181797,1509.71474731,49468.1962341
2025,145507.74517,24514.8918492,2228.62653175,2228.62653175,2228.62653175,1797.27946109,49755.7609479
2026,145292.071634,24299.2183139,2012.95299642,2012.95299642,2012.95299642,1581.60592576,49540.0874126
2027,145148.289277,24155.435957,1869.17063953,1869.17063953,1869.17063953,1437.82356887,49396.3050557
2028,144716.942207,23724.0888863,1437.82356887,1437.82356887,1437.82356887,1006.47649821,48964.957985
2029,145076.398099,24083.5447786,1797.27946109,1797.27946109,1797.27946109,1365.93239043,49324.4138772
2030,144860.724564,23867.8712432,1581.60592576,1581.60592576,1581.60592576,1150.2588551,49108.7403419
2031,145363.962813,24371.1094923,2084.84417486,2084.84417486,2084.84417486,1653.4971042,49611.978591
2032,144788.833385,23795.9800648,1509.71474731,1509.71474731,1509.71474731,1078.36767665,49036.8491635
2033,144932.615742,23939.7624217,1653.4971042,1653.4971042,1653.4971042,1222.15003354,49180.6315203
2034,144357.486314,23364.6329941,1078.36767665,1078.36767665,1078.36767665,647.020605991,48605.5020928
2035,144573.15985,23580.3065295,1294.04121198,1294.04121198,1294.04121198,862.694141321,48821.1756281
2036,144357.486314,23364.6329941,1078.36767665,1078.36767665,1078.36767665,647.020605991,48605.5020928
2037,144429.377493,23436.5241726,1150.2588551,1150.2588551,1150.2588551,718.911784434,48677.3932712
2038,144213.703958,23220.8506372,934.585319765,934.585319765,934.585319765,503.238249104,48461.7197359
2039,143782.356887,22789.5035666,503.238249104,503.238249104,503.238249104,71.8911784434,48030.3726652
2040,143422.900995,22430.0476744,143.782356887,143.782356887,143.782356887,-287.564713774,47670.916773
2041,142847.771567,21854.9182468,-431.347070661,-431.347070661,-431.347070661,-862.694141321,47095.7873455
2042,142488.315675,21495.4623546,-790.802962878,-790.802962878,-790.802962878,-1222.15003354,46736.3314533
2043,142128.859783,21136.0064624,-1150.2588551,-1150.2588551,-1150.2588551,-1581.60592576,46376.875561
2044,141769.40389,20776.5505702,-1509.71474731,-1509.71474731,-1509.71474731,-1941.06181797,46017.4196688
2045,141913.186247,20920.332927,-1365.93239043,-1365.93239043,-1365.93239043,-1797.27946109,46161.2020257
2046,141625.621534,20632.7682133,-1653.4971042,-1653.4971042,-1653.4971042,-2084.84417486,45873.6373119
2047,141697.512712,20704.6593917,-1581.60592576,-1581.60592576,-1581.60592576,-2012.95299642,45945.5284904
2048,141266.165641,20273.3123211,-2012.95299642,-2012.95299642,-2012.95299642,-2444.30006708,45514.1814197
2049,140978.600928,19985.7476073,-2300.51771019,-2300.51771019,-2300.51771019,-2731.86478085,45226.6167059
2050,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2051,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2052,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2053,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2054,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2055,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2056,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2057,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2058,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2059,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2060,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2061,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2062,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2063,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2064,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2065,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2066,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2067,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2068,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2069,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,-3882.12363595,44076.3578509
2070,139828.342073,18835.4887522,-3450.77656529,-3450.77656529,-3450.77656529,,44076.3578509
