year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,145004.51,9645.36,141113.15,54159.04
2018,144501.27,9644.28,141113.15,54159.04
2019,144357.49,9643.9,141113.15,54159.04
2020,143710.47,9642.45,141113.15,54159.04
2021,143279.12,9641.58,141113.15,54159.04
2022,143926.14,9642.93,141113.15,54159.04
2023,144573.16,9644.44,141113.15,54159.04
2024,145220.18,9645.78,141113.15,54159.04
2025,145507.75,9646.37,141113.15,54159.04
2026,145292.07,9646.01,141113.15,54159.04
2027,145148.29,9645.55,141113.15,54159.04
2028,144716.94,9644.75,141113.15,54159.04
2029,145076.4,9645.43,141113.15,54159.04
2030,144860.72,9645.07,141113.15,54159.04
2031,145363.96,9646.1,141113.15,54159.04
2032,144788.83,9644.88,141113.15,54159.04
2033,144932.62,9645.19,141113.15,54159.04
2034,144357.49,9643.89,141113.15,54159.04
2035,144573.16,9644.38,141113.15,54159.04
2036,144357.49,9643.83,141113.15,54159.04
2037,144429.38,9644.05,141113.15,54159.04
2038,144213.7,9643.63,141113.15,54159.04
2039,143782.36,9642.69,141113.15,54159.04
2040,143422.9,9641.8,141113.15,54159.04
