year,population
2003,105.0
2004,109.0
2005,100.0
2006,105.0
2007,96.0
2008,94.0
2009,107.0
2010,118.0
2011,118.0
2012,120.0
2013,122.0
2014,124.0
2015,127.0
2016,129.0
2017,131.0
2018,134.0
2019,136.0
2020,139.0
2021,141.0
2022,145.0
2023,147.0
2024,149.0
2025,151.0
2026,153.0
2027,155.0
2028,158.0
2029,160.0
2030,162.0
2031,165.0
2032,167.0
2033,171.0
2034,173.0
2035,175.0
2036,178.0
2037,180.0
2038,182.0
2039,185.0
2040,188.0
