year,Base case diesel consumed,"Chuathbaluk, alaska heat recovery study"
2019,75255.0,73355.0
2020,75258.0,73358.0
2021,76342.0,74442.0
2022,77428.0,75528.0
2023,78512.0,76612.0
2024,78514.0,76614.0
2025,79598.0,77698.0
2026,80682.0,78782.0
2027,80685.0,78785.0
2028,81770.0,79870.0
2029,82854.0,80954.0
2030,83938.0,82038.0
2031,83942.0,82042.0
2032,85025.0,83125.0
2033,86111.0,84211.0
2034,87195.0,85295.0
2035,87198.0,85298.0
2036,88282.0,86382.0
2037,89366.0,87466.0
2038,90450.0,88550.0
