year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,73086.0,63737.2741235
2018,74170.0,64821.2741235
2019,75255.0,65906.2741235
2020,75258.0,65909.2741235
2021,76342.0,66993.2741235
2022,77428.0,68079.2741235
2023,78512.0,69163.2741235
2024,78514.0,69165.2741235
2025,79598.0,70249.2741235
2026,80682.0,71333.2741235
2027,80685.0,71336.2741235
2028,81770.0,72421.2741235
2029,82854.0,73505.2741235
2030,83938.0,74589.2741235
2031,83942.0,74593.2741235
2032,85025.0,75676.2741235
2033,86111.0,76762.2741235
2034,87195.0,77846.2741235
2035,87198.0,77849.2741235
2036,88282.0,78933.2741235
