year,Base case diesel consumed,Chuathbaluk (mission creek)
2021,36334.0359488,18504.661565
2022,36573.075659,18743.7012752
2023,36692.5955141,18863.2211303
2024,36812.1153692,18982.7409854
2025,36931.6352243,19102.2608405
2026,37170.6749345,19341.3005507
2027,37290.1947895,19460.8204058
2028,37529.2344997,19699.860116
2029,37648.7543548,19819.3799711
2030,37768.2742099,19938.8998262
2031,38007.3139201,20177.9395364
2032,38126.8337752,20297.4593915
2033,38365.8734854,20536.4991016
2034,38604.9131956,20775.5388118
2035,38724.4330507,20895.0586669
2036,38963.4727609,21134.0983771
2037,39082.992616,21253.6182322
2038,39202.5124711,21373.1380873
2039,39441.5521813,21612.1777975
2040,39680.5918914,21851.2175077
2041,39800.1117465,21970.7373628
2042,40039.1514567,22209.777073
2043,40158.6713118,22329.2969281
2044,40397.711022,22568.3366383
2045,40517.2308771,22687.8564934
2046,40756.2705873,22926.8962035
2047,40875.7904424,23046.4160586
2048,41114.8301526,23285.4557688
2049,41234.3500077,23404.9756239
2050,41473.3897179,23644.0153341
2051,41473.3897179,23644.0153341
2052,41473.3897179,23644.0153341
2053,41473.3897179,23644.0153341
2054,41473.3897179,23644.0153341
2055,41473.3897179,23644.0153341
2056,41473.3897179,23644.0153341
2057,41473.3897179,23644.0153341
2058,41473.3897179,23644.0153341
2059,41473.3897179,23644.0153341
2060,41473.3897179,23644.0153341
2061,41473.3897179,23644.0153341
2062,41473.3897179,23644.0153341
2063,41473.3897179,23644.0153341
2064,41473.3897179,23644.0153341
2065,41473.3897179,23644.0153341
2066,41473.3897179,23644.0153341
2067,41473.3897179,23644.0153341
2068,41473.3897179,23644.0153341
2069,41473.3897179,23644.0153341
2070,41473.3897179,23644.0153341
