year,Base case diesel consumed,Modeled diesel efficiency
2019,35975.4763835,32704.9785305
2020,36094.9962386,32813.6329442
2021,36334.0359488,33030.9417716
2022,36573.075659,33248.2505991
2023,36692.5955141,33356.9050128
2024,36812.1153692,33465.5594265
2025,36931.6352243,33574.2138402
2026,37170.6749345,33791.5226677
2027,37290.1947895,33900.1770814
2028,37529.2344997,34117.4859089
2029,37648.7543548,34226.1403226
2030,37768.2742099,34334.7947363
2031,38007.3139201,34552.1035637
2032,38126.8337752,34660.7579775
2033,38365.8734854,34878.0668049
2034,38604.9131956,35095.3756324
2035,38724.4330507,35204.0300461
2036,38963.4727609,35421.3388735
2037,39082.992616,35529.9932872
2038,39202.5124711,35638.647701
