year,Base case cost,"Chuathbaluk, alaska heat recovery study"
2019,429717.495382,434836.920132
2020,445538.805839,449873.24511
2021,462644.130702,466335.63103
2022,477742.53587,480856.931762
2023,490711.940733,493314.859637
2024,495435.281037,497573.148192
2025,507847.345901,509509.389084
2026,522024.810764,523181.064914
2027,528499.02122,529176.332952
2028,540512.136236,540756.168265
2029,554305.861099,554086.096541
2030,566594.265963,565956.012553
2031,574176.046571,573069.440765
2032,589236.181282,587668.192276
2033,604512.31645,602489.750101
2034,620841.661313,618352.163967
2035,626094.901769,623220.963994
2036,642706.386633,639378.346875
2037,655960.031496,652260.079648
2038,672961.75636,668819.937235
