year,Base case cost,Modeled biomass for heat (cordwood)
2017,361055.955504,382405.554714
2018,390145.480367,408153.742787
2019,429717.495382,443177.283786
2020,445538.805839,456701.819451
2021,462644.130702,472172.597735
2022,477742.53587,485924.552278
2023,490711.940733,497835.423545
2024,495435.281037,501694.485289
2025,507847.345901,513155.894218
2026,522024.810764,526202.671876
2027,528499.02122,531646.462896
2028,540512.136236,542822.754589
2029,554305.861099,555599.148011
2030,566594.265963,567063.510798
2031,574176.046571,573546.954392
2032,589236.181282,587514.774394
2033,604512.31645,601704.476011
2034,620841.661313,616859.643383
2035,626094.901769,621318.26409
2036,642706.386633,636766.657424
