year,Base case cost,Modeled water and wastewater efficiency
2017,57902.2356085,43849.3251296
2018,61245.5406599,45986.591679
2019,65782.0670957,48926.8060009
2020,67931.2636939,50268.3077968
2021,69483.6959349,51212.1919446
2022,70558.3266264,51837.446881
2023,71274.750766,52224.4643442
2024,71871.8633828,52533.7827904
2025,72588.3523685,52925.5476326
2026,73543.5463735,53479.8684839
2027,74260.0663718,53876.2734238
2028,74857.2215208,54194.6847814
2029,75692.8640898,54675.0029131
2030,76289.8545391,54997.2060263
2031,77125.3139139,55481.2328918
