year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9463.93374551,6151.55693458
2018,9461.84049553,6150.1963221
2019,9459.70090054,6148.80558535
2020,9457.48306504,6147.36399228
2021,9454.83980092,6145.6458706
2022,9453.07316347,6144.49755625
2023,9451.73108899,6143.62520785
2024,9450.19371289,6142.62591338
2025,9448.3176053,6141.40644345
2026,9445.92917219,6139.85396193
2027,9443.35582513,6138.18128633
2028,9440.69924347,6136.45450826
2029,9438.16718076,6134.80866749
2030,9435.550019,6133.10751235
2031,9433.03473638,6131.47257865
