year,Base case cost,Burro creek hydro feasibility study
2021,82875.4962444,555522.729095
2022,89162.7174986,541667.688883
2023,94036.4414063,529424.225944
2024,99828.8564911,518405.297674
2025,105212.638535,507276.41243
2026,112161.5432,496648.381308
2027,118734.039509,486606.753671
2028,124956.010599,477848.708625
2029,133492.646329,469643.056148
2030,141163.420408,463548.708468
2031,151112.606927,456601.971995
2032,161737.091888,451261.494666
2033,171862.908957,445669.408078
2034,183313.578586,440965.470624
2035,194732.463592,438499.279044
2036,208585.54233,436663.455931
2037,221528.342152,436853.941965
2038,237660.83332,437741.662587
2039,253674.276902,440080.569598
2040,272015.639357,442922.746292
2041,286108.697421,448500.704076
2042,300828.103683,454904.582521
2043,316173.867341,462129.713986
2044,332145.992215,470171.533913
2045,349057.65158,479338.754996
2046,367535.205676,490253.380754
2047,387578.654728,502911.157889
2048,406682.566673,514802.499412
2049,429544.62538,530621.032209
2050,453659.399701,547857.363458
