year,Base case cost,Modeled non-residential energy efficiency
2017,2107693.73174,1857668.95271
2018,2150278.37687,1894633.02531
2019,2208635.1128,1947171.31138
2020,2237024.87622,1970441.09862
2021,2255951.38517,1984540.54847
2022,2271723.47596,1995651.99434
2023,2281186.73043,2000680.56954
2024,2290649.98491,2005808.72304
2025,2300113.23938,2011034.12121
2026,2312730.91201,2019446.90468
2027,2323771.37557,2026406.218
2028,2331657.42096,2030363.67762
2029,2344275.09359,2039048.21047
2030,2350583.92991,2041634.27444
2031,2364778.81162,2052035.73399
