year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9499.9882256,6174.99234664
2018,9498.93721907,6174.30919239
2019,9498.08130796,6173.75285018
2020,9497.2382075,6173.20483488
2021,9496.47744211,6172.71033737
2022,9495.67384113,6172.18799674
2023,9494.83607844,6171.64345098
2024,9494.09853234,6171.16404602
2025,9493.40021883,6170.71014224
2026,9492.75221379,6170.28893897
2027,9492.04749497,6169.83087173
2028,9491.32689628,6169.36248258
2029,9490.59642272,6168.88767477
2030,9490.47699016,6168.81004361
2031,9490.06438069,6168.54184745
