year,Base case cost,Modeled water and wastewater efficiency
2017,71500.2792364,57506.5181309
2018,76460.5927057,60801.5128621
2019,83631.1220121,65644.1343868
2020,86934.1231618,67789.4839793
2021,89317.0719912,69296.0502937
2022,91146.7507854,70419.8825579
2023,92423.4411133,71161.0954448
2024,93333.2154022,71649.5948029
2025,94611.3187591,72398.7812715
2026,96073.85148,73280.1402251
2027,97351.3224395,74035.5123229
2028,98260.4304578,74536.8148864
2029,99720.9276882,75426.3269245
2030,100638.674443,75939.9995928
2031,102103.605015,76838.7244531
