year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6638.53644911,4315.04869192
2018,6638.18145159,4314.81794353
2019,6638.06854445,4314.74455389
2020,6637.87625413,4314.61956518
2021,6637.46854142,4314.35455192
2022,6636.67411571,4313.83817521
2023,6635.4439057,4313.03853871
2024,6634.50858225,4312.43057846
2025,6633.85273297,4312.00427643
2026,6633.61228909,4311.84798791
2027,6633.16530316,4311.55744705
2028,6632.55841719,4311.16297117
2029,6633.85043865,4312.00278512
2030,6634.6410855,4312.51670558
2031,6634.90244811,4312.68659127
