year,Base case cost,Modeled solar power (pv)
2016,101078.223924,104774.040797
2017,120133.954663,123396.829565
2018,134218.62521,137141.944069
2019,153688.610966,156186.997299
2020,163216.476336,165465.901917
2021,169430.301577,171491.364674
2022,173987.106754,175891.399962
2023,177301.146882,179072.682904
2024,180200.931995,181849.589381
2025,183514.972124,185036.938933
2026,187243.267268,188634.830243
2027,190154.437825,191425.228708
2028,193048.092314,194207.521182
2029,197185.387654,198223.092206
2030,199256.662735,200201.332391
2031,203399.212895,204221.128604
2032,207541.763056,208243.738045
2033,211236.777671,211821.567664
2034,215370.569798,215840.874237
2035,217850.845074,218234.154396
