year,Base case diesel consumed,Modeled transmission and interties
2021,82851.0032161,41425.501608
2022,82851.0032161,41425.501608
2023,82851.0032161,41425.501608
2024,82851.0032161,41425.501608
2025,82851.0032161,41425.501608
2026,82851.0032161,41425.501608
2027,82675.8425327,41337.9212664
2028,82675.8425327,41337.9212664
2029,82851.0032161,41425.501608
2030,82851.0032161,41425.501608
2031,82851.0032161,41425.501608
2032,82851.0032161,41425.501608
2033,82675.8425327,41337.9212664
2034,82675.8425327,41337.9212664
2035,82675.8425327,41337.9212664
2036,82675.8425327,41337.9212664
2037,82675.8425327,41337.9212664
2038,82675.8425327,41337.9212664
2039,82675.8425327,41337.9212664
2040,82675.8425327,41337.9212664
