year,Base case cost,Modeled residential energy efficiency
2017,146445.719835,146445.719835
2018,156482.978403,156482.978403
2019,170358.012305,170358.012305
2020,177147.922513,177147.922513
2021,181576.124822,181576.124822
2022,174718.554984,174718.554984
2023,176950.136854,176950.136854
2024,178902.770991,178902.770991
2025,181134.352861,181134.352861
2026,183644.882465,183644.882465
2027,185876.464336,185876.464336
2028,187829.098472,187829.098472
2029,190339.628076,190339.628076
2030,191734.366745,191734.366745
2031,194523.844083,194523.844083
