year,Base case cost,Modeled water and wastewater efficiency
2017,59529.9829797,45647.2371953
2018,63885.2587322,48599.7462648
2019,69909.0710668,52719.3412934
2020,72855.280605,54692.1204415
2021,74773.3773236,55949.0167193
2022,76174.0167256,56846.5217634
2023,77184.6909463,57473.6044523
2024,78070.4097426,58015.2987276
2025,79087.3768259,58650.4463076
2026,80237.3658255,59380.2517812
2027,81256.5866215,60020.453926
2028,82145.5582904,60571.3777654
2029,83314.8714688,61319.7906391
2030,83965.6301142,61707.7061068
2031,85250.2848793,62539.7446555
