year,Base case diesel consumed,Modeled diesel efficiency
2019,41425.501608,37659.5469164
2020,41425.501608,37659.5469164
2021,41425.501608,37659.5469164
2022,41425.501608,37659.5469164
2023,41425.501608,37659.5469164
2024,41425.501608,37659.5469164
2025,41425.501608,37659.5469164
2026,41425.501608,37659.5469164
2027,41337.9212664,37579.928424
2028,41337.9212664,37579.928424
2029,41425.501608,37659.5469164
2030,41425.501608,37659.5469164
2031,41425.501608,37659.5469164
2032,41425.501608,37659.5469164
2033,41337.9212664,37579.928424
2034,41337.9212664,37579.928424
2035,41337.9212664,37579.928424
2036,41337.9212664,37579.928424
2037,41337.9212664,37579.928424
2038,41337.9212664,37579.928424
