year,Base case diesel consumed,Modeled solar power (pv)
2016,41425.501608,40701.9385444
2017,41425.501608,40707.7270489
2018,41425.501608,40713.4692454
2019,41425.501608,40719.1655043
2020,41425.501608,40724.8161931
2021,41425.501608,40730.4216765
2022,41425.501608,40735.9823159
2023,41425.501608,40741.4984702
2024,41425.501608,40746.9704953
2025,41425.501608,40752.3987442
2026,41425.501608,40757.7835672
2027,41337.9212664,40675.5449698
2028,41337.9212664,40680.8439802
2029,41425.501608,40773.6809401
2030,41425.501608,40778.8955055
2031,41425.501608,40784.0683543
2032,41425.501608,40789.1998203
2033,41337.9212664,40706.709893
2034,41337.9212664,40711.759584
2035,41337.9212664,40716.7688774
