year,Base case cost,"Upper chilkoot lake -- upper chilkoot lake, aka connelly lake",Burro creek,Lace river (unnamed lake near),Reid falls,Haska creek,Lace river,Haines (west creek),Walker lake (klukwan),Sherman creek,"Skagway tributary -- skagway river, tributary",Connelly lake hydroelectric project,Beardslee (beardslee creek),"Excursion inlet (s excursion inlet; 58.25', 135.24') -- south creek, excursion inlet",Antler river,Endicott river,Ferebee river,Chilkoot river tributary,Haines (dayebas creek),Haines (kelsall river),Haines (nataga creek),Schubee lake hydroelectric project,Excursion inlet hydro project  feasibility and conceptual design -- excursion creek,Schubee lake
2021,181977.475043,4020563.73276,9200328.9596,16427125.3313,525030.431675,1227966.42377,77367152.4358,14146586.6694,672654.173971,1534169.55661,30696421.8175,3773881.01979,1512445.68535,1016818.48996,11868077.7285,26672589.3602,4447543.84857,20147745.0145,2845602.72547,5574429.52136,3994720.76178,,,5967214.92859
2022,188043.390877,3936724.06995,9011690.78412,16084952.6301,508953.907402,1202217.56603,75720973.6219,13817800.2584,656649.920105,1502665.46059,30071398.0812,3679085.2871,1481456.82742,995510.288797,11616659.7154,26103753.3014,4354607.11013,19727077.716,2773189.37311,5461480.12102,3912358.01457,,,5832978.77251
2023,192454.96603,3855707.24986,8829009.07194,15754380.1951,494099.715857,1177325.8226,74135606.6198,13504925.2842,641425.819512,1472127.28476,29465590.8423,3589733.85353,1451407.59242,974902.161132,11374341.9244,25556081.8776,4264831.151,19320820.6564,2705033.05353,5351889.04466,3832636.71521,,,5704656.27062
2024,195763.647394,3777156.26709,8651623.70315,15433922.184,480152.543263,1153185.11579,72602089.5255,13204806.8742,626826.260282,1442455.24361,28877001.1361,3504606.57474,1422203.63271,954909.666376,11139823.5679,25026423.521,4177808.75937,18927093.1813,2640166.11967,5245336.49643,3755253.87271,,,5581170.54398
2025,200175.222547,3699776.66521,8477197.34966,15118179.8143,465872.207528,1129412.22103,71087161.3643,12905317.0647,612252.683164,1413301.0161,28298641.0112,3418958.88137,1393517.61754,935229.104037,10908297.7972,24503064.7644,4092058.93483,18539041.1963,2574821.22376,5140726.19606,3679129.61292,,,5458418.63912
2026,205138.244594,3623839.16143,8306194.28393,14808287.1044,451560.408458,1106086.67278,69598112.9717,12609293.1831,597845.267257,1384731.55541,27731858.2858,3333923.05142,1365411.55398,915922.909443,10680809.3737,23988580.3899,4007893.3745,18158113.4644,2509899.31558,5038259.77704,3604481.5918,,,5337345.27993
2027,209549.819746,3549928.28681,8139640.86687,14506687.81,437827.345164,1083380.797,68150360.6338,12322568.4822,583892.078683,1356897.16602,27179673.8114,3251807.52574,1338025.60867,897126.943778,10459575.6924,23488408.0375,3925983.17739,17787423.2199,2447235.60661,4938399.52257,3531787.74187,,,5219905.91906
2028,212858.501111,3478316.70438,7978005.78734,14214523.8835,424975.024452,1061374.72672,66751232.8692,12047987.4502,570533.644554,1329865.54149,26643450.0897,3173746.56371,1311422.51797,878904.138593,10245647.2882,23005135.4958,3846642.1945,17428428.965,2387732.55065,4841349.73074,3461267.64342,,,5107048.26053
2029,217821.523157,3407401.03212,7818400.72363,13925106.7362,411455.536161,1039593.94956,65359437.919,11770444.187,557024.392877,1303206.86945,26114563.0237,3093824.41083,1285198.62366,860878.61415,10033059.1827,22524219.1151,3768035.43444,17072636.6009,2326692.31665,4745760.16553,3391585.98002,,,4993666.10878
2030,220578.757628,3339332.7861,7664657.74842,13647420.3105,399421.247086,1018674.10771,64030978.9589,11510743.9025,544391.452088,1277487.41781,25604382.9034,3020228.19975,1259884.1091,843552.829383,9829885.75526,22065396.8924,3692628.69879,16731471.2855,2270619.81372,4653393.50437,3324520.00565,,,4886765.368
2031,226093.226568,3271259.06747,7511653.2109,13369560.4677,386091.155245,997771.288156,62692173.5616,11241818.1132,531298.728478,1251946.15254,25097636.8028,2942343.36812,1234764.82858,826258.664588,9625488.51989,21602712.1058,3617155.74064,16389809.7584,2211084.59957,4561864.7709,3257698.97291,,,4777205.71661
2032,231056.248615,3205020.33898,7362663.36083,13099212.6687,373309.563664,977429.190779,61390952.9128,10981486.2623,518625.957191,1227067.04061,24604042.8101,2867183.69679,1210293.84051,809425.856836,9426777.41301,21153058.3469,3543726.01534,16057426.5233,2153659.45536,4472679.7731,3192642.58928,,,4670986.55798
2033,236570.717556,3139955.25734,7216487.49734,12833619.9708,360454.154318,957451.861336,60110413.1708,10723632.424,506071.334094,1202670.55078,24120000.4346,2792362.52787,1186302.18922,792898.956248,9231307.1294,20710484.5312,3471583.39833,15730823.8839,2096449.79684,4385271.04178,3128796.95853,,,4566034.79737
2034,242085.186496,3076341.82074,7073606.41845,12573946.0793,347827.775757,937921.074015,58857986.1756,10471120.7199,493776.340506,1178826.40661,23646912.4383,2719019.5535,1162854.61069,776742.254954,9040144.03386,20277614.11,3401047.64625,15411487.0463,2040362.20167,4299850.18096,3066386.9372,,,4463306.30991
2035,245945.314755,3015084.50026,6935622.47804,12323969.4652,336350.092941,919103.830712,57657332.3039,10232802.8728,482178.02524,1155770.59487,23189518.935,2650645.61555,1140171.72719,761166.602288,8856696.33206,19862788.5306,3333156.04124,15104224.3785,1988170.87834,4217148.51263,3006156.7928,,,4365776.65951
2036,251459.783695,2954273.07648,6799101.10031,12075720.2479,324165.797104,900434.973616,56459169.4534,9990602.73122,470384.177036,1132992.6064,22737575.44,2580155.9007,1117774.33569,745724.471795,8673847.11198,19448647.919,3265721.91245,14798912.2293,1934249.1266,4135564.70457,2946517.83176,,,4267339.6067
2037,254768.46506,2896064.9306,6667887.66997,11838206.2837,313428.180402,882551.949099,55319614.3843,9765347.08882,459422.973319,1111060.94078,22302496.5026,2515743.51404,1096194.81778,730919.818139,8499688.15544,19054969.4772,3201217.5537,14507005.113,1885106.38905,4056869.46589,2889253.1084,,,4175010.03844
2038,260834.380895,2837612.88257,6536871.51612,11599546.7514,301357.143124,864612.6033,54165095.4206,9529988.50773,447959.343199,1089216.73994,21869052.352,2446799.71658,1074721.17114,716085.980026,8323597.94468,18655834.71,3136383.04839,14213408.3927,1832316.64384,3978685.65148,2831997.53095,,,4079656.39179
2039,265245.956047,2781388.64948,6410461.29682,11370061.3728,290414.559095,847347.334656,53059864.8831,9308351.62829,437169.444488,1068112.05339,21450334.5104,2382694.30785,1053964.1326,701800.471107,8154842.44419,18273887.1667,3074050.67014,13931243.6667,1783323.9988,3903045.335,2776794.94655,,,3989305.08199
2040,271863.318776,2725172.18857,6284669.40502,11140486.8009,278437.24984,830099.421401,51946592.4997,9079379.0587,426013.892619,1047154.53907,21034455.5727,2315170.37516,1033367.83517,687543.356733,7985143.94849,17888930.7897,3011678.76335,13648742.7861,1731570.57647,3828091.99914,2721800.33151,,,3896845.25251
2041,271863.318776,2673939.30891,6168386.63779,10931594.4818,270354.070898,814339.619281,50954409.8881,8890839.22102,416850.793527,1027660.6145,20647842.8898,2263000.48452,1014165.88652,674477.920466,7833130.44636,17546469.0844,2954967.71191,13392310.9907,1691969.61704,3757934.1251,2671133.39734,,,3818379.3177
2042,271863.318776,2623907.19866,6054829.24518,10727598.0716,262460.341272,798949.187153,49985481.5331,8706718.28135,407902.454355,1008623.57832,20270291.4325,2212053.32447,995413.983085,661718.705053,7684679.75711,17212033.8172,2899585.82441,13141889.3095,1653296.80417,3689420.57459,2621653.96826,,,3741752.4264
2043,271863.318776,2575047.71865,5943933.35999,10528382.838,254751.621353,783919.469096,49039262.4879,8526912.68599,399163.842357,990032.72369,19901588.8576,2162300.24118,977101.578386,649258.53443,7539708.38877,16885436.8943,2845501.95283,12897336.8997,1615530.38741,3622512.81406,2573334.21592,,,3666921.48193
2044,271863.318776,2527333.38227,5835636.59613,10333836.7098,247223.57449,769242.009922,48115220.4432,8351321.28267,390630.0415,971877.59205,19541527.7461,2113713.24534,959218.37051,637090.398945,7398134.78559,16566494.584,2792685.67151,12658516.1849,1578649.1207,3557173.20357,2526146.95735,,,3593844.38706
2045,271863.318776,2480737.35151,5729878.03963,10143850.2599,239871.966361,754908.553963,47212835.6506,8179845.30605,382296.251756,954147.971637,19189905.5734,2066265.0081,941754.300642,625207.454356,7259879.31631,16255027.4898,2741107.27275,12425292.8349,1542632.25935,3493364.99138,2480065.651,,,3522480.03793
2046,271863.318776,2435233.41325,5626598.19481,9958316.60936,232692.661235,740911.037771,46331600.4634,8012388.29036,374157.784855,936833.888451,18846524.5304,2019928.83691,924699.544171,613603.015777,7124864.20372,15950860.3924,2690737.74051,12197535.6473,1507459.54166,3431052.28146,2435064.37332,,,3452788.2877
2047,271863.318776,2390795.97527,5525738.97529,9777131.41084,225681.621347,727241.588896,45471019.2593,7848856.05484,366210.063582,919925.604747,18511191.4937,1974678.67149,908044.509204,602270.556668,6993013.51296,15653822.223,2641548.74611,11975116.5274,1473111.18588,3370200.02805,2391117.8148,,,3384729.94051
2048,271863.318776,2347400.0386,5427243.64112,9600192.73574,218834.902525,713892.517378,44630607.9051,7689156.60188,358448.616821,903413.608508,18183717.8164,1930489.05566,891779.82619,591203.701778,6864253.06938,15363745.8779,2593512.61749,11757910.35,1439567.8688,3310773.99776,2348201.25261,,,3318266.70909
2049,271863.318776,2305021.19355,5331056.78988,9427401.05819,212148.653574,700856.314524,43809893.6795,7533200.10246,350869.078853,887288.611933,17863919.2985,1887335.13329,875896.34644,580396.226134,6738510.44677,15080468.1929,2546602.33492,11545794.939,1406810.72272,3252740.76417,2306290.5467,,,3253361.20866
2050,271863.318776,2263635.60388,5237124.3207,9258659.1905,205619.113772,688125.648045,43008414.9668,7380898.83793,343467.186522,871541.545425,17551616.0674,1845192.6322,860385.1362,569842.051007,6615714.92045,14803829.8367,2500791.51344,11338650.9891,1374821.32318,3196067.68615,2265362.12416,,,3189976.93274
