year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,55144.69,6911.6,1112684.18,1278340.92
2018,55144.69,6901.5,1112684.18,1275576.82
2019,55144.69,6892.15,1112684.18,1274194.78
2020,55144.69,6879.86,1112684.18,1271430.68
2021,55144.69,6864.01,1112684.18,1267284.53
2022,55144.69,6847.84,1112684.18,1263138.39
2023,55144.69,6829.67,1112684.18,1258992.24
2024,55144.69,6810.34,1112684.18,1254846.1
2025,55144.69,6788.81,1112684.18,1249317.91
2026,55144.69,6765.87,1112684.18,1243789.71
2027,55144.69,6740.89,1112684.18,1238261.52
2028,55144.69,6715.22,1112684.18,1232733.33
2029,55144.69,6701.17,1112684.18,1228587.18
2030,55144.69,6684.45,1112684.18,1224441.04
2031,55144.69,6666.31,1112684.18,1220294.89
