year,Base case diesel consumed,Modeled solar power (pv)
2016,258365.972972,255117.817196
2017,258894.946886,255672.776355
2018,259348.353098,256151.959931
2019,259801.759309,256630.937288
2020,260255.165521,257109.710076
2021,260708.571733,257588.279932
2022,261086.410243,257991.080776
2023,261539.816454,258469.249623
2024,261917.654964,258871.652668
2025,262371.061176,259349.426898
2026,262748.899685,259751.438482
2027,263202.305897,260228.824383
2028,263655.712109,260706.018447
2029,264109.118321,261183.022208
2030,264486.95683,261584.269487
2031,264940.363042,262060.897197
2032,265393.769254,262537.339135
2033,265922.743167,263089.16449
2034,266451.717081,263640.807033
2035,266905.123293,264116.700525
