year,Base case diesel consumed,Modeled diesel efficiency
2019,259801.759309,236183.417554
2020,260255.165521,236595.605019
2021,260708.571733,237007.792484
2022,261086.410243,237351.282039
2023,261539.816454,237763.469504
2024,261917.654964,238106.959058
2025,262371.061176,238519.146523
2026,262748.899685,238862.636078
2027,263202.305897,239274.823543
2028,263655.712109,239687.011008
2029,264109.118321,240099.198473
2030,264486.95683,240442.688028
2031,264940.363042,240854.875493
2032,265393.769254,241267.062958
2033,265922.743167,241747.948334
2034,266451.717081,242228.83371
2035,266905.123293,242641.021175
2036,267358.529504,243053.20864
2037,267811.935716,243465.396106
2038,268265.341928,243877.583571
