year,Base case diesel consumed,Modeled residential ashp
2017,106226.411639,56925.1918798
2018,106226.411639,56925.1918798
2019,108243.170377,58941.9506181
2020,108243.170377,58941.9506181
2021,110259.929115,60958.7093563
2022,112276.687853,62975.4680945
2023,112276.687853,62975.4680945
2024,114293.446592,64992.2268328
2025,114293.446592,64992.2268328
2026,116310.20533,67008.985571
2027,116310.20533,67008.985571
2028,118326.964068,69025.7443092
2029,118326.964068,69025.7443092
2030,120343.722806,71042.5030475
2031,122360.481545,73059.2617857
