year,Base case cost,Modeled biomass for heat (pellet)
2017,128414.272491,139746.029743
2018,141463.912491,148730.923359
2019,159950.902491,161602.167986
2020,168650.662491,167499.072943
2021,174812.992491,171593.137046
2022,179525.362491,174659.941401
2023,182787.772491,176699.320194
2024,185325.202491,178228.278763
2025,188587.612491,180280.993512
2026,192575.002491,182857.31001
2027,195837.412491,184922.742918
2028,198737.332491,186735.728593
2029,202362.232491,189071.874114
2030,204537.172491,190379.537229
2031,208524.562491,192985.833483
2032,,
2033,,
2034,,
2035,,
2036,,
