year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,3274.86,271130.0,271130.0
2004,,3274.86,274440.0,274440.0
2005,,3274.86,286020.0,286020.0
2006,,3274.86,274680.0,274680.0
2007,,3274.86,257460.0,257460.0
2008,,3274.86,275672.0,275672.0
2009,,3274.86,167225.0,167225.0
2010,,3274.86,335452.0,335452.0
2011,,3274.86,320695.0,320695.0
2012,,3274.86,308832.0,308832.0
2013,,3274.86,281946.0,281946.0
2014,,3274.86,258105.0,258105.0
2015,,3274.86,247922.0,247922.0
2016,start of forecast,3274.86,267000.0,267000.0
2017,,3274.86,267000.0,267000.0
2018,,3274.86,267000.0,267000.0
2019,,3274.86,267000.0,267000.0
2020,,3274.86,266000.0,266000.0
2021,,3274.86,266000.0,266000.0
2022,,3274.86,266000.0,266000.0
2023,,3274.86,266000.0,266000.0
2024,,3274.86,266000.0,266000.0
2025,,3274.86,266000.0,266000.0
2026,,3274.86,266000.0,266000.0
2027,,3274.86,266000.0,266000.0
2028,,3274.86,266000.0,266000.0
2029,,3274.86,265000.0,265000.0
2030,,3274.86,265000.0,265000.0
2031,,3274.86,265000.0,265000.0
2032,,3274.86,265000.0,265000.0
2033,,3274.86,265000.0,265000.0
2034,,3274.86,265000.0,265000.0
2035,,3274.86,265000.0,265000.0
2036,,3274.86,265000.0,265000.0
2037,,3274.86,265000.0,265000.0
2038,,3274.86,265000.0,265000.0
2039,,3274.86,265000.0,265000.0
2040,,3274.86,264000.0,264000.0
