year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,36249.0,25858.3634191
2018,36249.0,25858.3634191
2019,36249.0,25858.3634191
2020,36249.0,25858.3634191
2021,36249.0,25858.3634191
2022,36249.0,25858.3634191
2023,36249.0,25858.3634191
2024,36249.0,25858.3634191
2025,36249.0,25858.3634191
2026,36249.0,25858.3634191
2027,36249.0,25858.3634191
2028,36249.0,25858.3634191
2029,36249.0,25858.3634191
2030,36249.0,25858.3634191
2031,36249.0,25858.3634191
2032,,
2033,,
2034,,
2035,,
2036,,
