year,annotation,diesel generation efficiency
2002,,9.25
2003,,11.14
2004,,11.71
2005,,11.51
2006,,12.21
2007,,11.1
2008,,10.68
2009,,6.64
2010,,10.88
2011,,10.82
2012,,11.72
2013,,12.23
2014,,11.8
2015,,11.75
2016,start of forecast,11.93
2017,,11.93
2018,,11.93
2019,,11.93
2020,,11.93
2021,,11.93
2022,,11.93
2023,,11.93
2024,,11.93
2025,,11.93
2026,,11.93
2027,,11.93
2028,,11.93
2029,,11.93
2030,,11.93
2031,,11.93
2032,,11.93
2033,,11.93
2034,,11.93
2035,,11.93
2036,,11.93
2037,,11.93
2038,,11.93
2039,,11.93
2040,,11.93
