year,Base case diesel consumed,Chenega bay hydroelectric construction -- anderson creek,South lake creek (chenega bay),Chenega bay -- anderson creek,Thumb bay (unnamed creek),"New chenega (crab bay, chenega bay) -- unnamed creek, near crab bay",Hayden lake
2018,22385.3127757,14647.1427641,,,,,
2019,22385.3127757,14647.1427641,,,,,
2020,22301.4726529,14563.3026414,,,,,
2021,22301.4726529,14563.3026414,0.0,6897.61087814,7753.38097569,11228.9692218,16596.3386634
2022,22301.4726529,14563.3026414,0.0,6897.61087814,7753.38097569,11228.9692218,16596.3386634
2023,22301.4726529,14563.3026414,0.0,6897.61087814,7753.38097569,11228.9692218,16596.3386634
2024,22301.4726529,14563.3026414,0.0,6897.61087814,7753.38097569,11228.9692218,16596.3386634
2025,22301.4726529,14563.3026414,0.0,6897.61087814,7753.38097569,11228.9692218,16596.3386634
2026,22301.4726529,14563.3026414,0.0,6897.61087814,7753.38097569,11228.9692218,16596.3386634
2027,22301.4726529,14563.3026414,0.0,6897.61087814,7753.38097569,11228.9692218,16596.3386634
2028,22301.4726529,14563.3026414,0.0,6897.61087814,7753.38097569,11228.9692218,16596.3386634
2029,22217.6325302,14479.4625186,0.0,6813.77075539,7669.54085294,11145.129099,16512.4985406
2030,22217.6325302,14479.4625186,0.0,6813.77075539,7669.54085294,11145.129099,16512.4985406
2031,22217.6325302,14479.4625186,0.0,6813.77075539,7669.54085294,11145.129099,16512.4985406
2032,22217.6325302,14479.4625186,0.0,6813.77075539,7669.54085294,11145.129099,16512.4985406
2033,22217.6325302,14479.4625186,0.0,6813.77075539,7669.54085294,11145.129099,16512.4985406
2034,22217.6325302,14479.4625186,0.0,6813.77075539,7669.54085294,11145.129099,16512.4985406
2035,22217.6325302,14479.4625186,0.0,6813.77075539,7669.54085294,11145.129099,16512.4985406
2036,22217.6325302,14479.4625186,0.0,6813.77075539,7669.54085294,11145.129099,16512.4985406
2037,22217.6325302,14479.4625186,0.0,6813.77075539,7669.54085294,11145.129099,16512.4985406
2038,22217.6325302,14479.4625186,0.0,6813.77075539,7669.54085294,11145.129099,16512.4985406
2039,22217.6325302,14479.4625186,0.0,6813.77075539,7669.54085294,11145.129099,16512.4985406
2040,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2041,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2042,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2043,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2044,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2045,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2046,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2047,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2048,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2049,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2050,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2051,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2052,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2053,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2054,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2055,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2056,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2057,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2058,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2059,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2060,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2061,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2062,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2063,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2064,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2065,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2066,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2067,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2068,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2069,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
2070,22133.7924074,14395.6223959,0.0,6729.93063263,7585.70073018,11061.2889763,16428.6584179
