year,Base case cost,Modeled biomass for heat (cordwood)
2017,128414.272491,159234.552735
2018,141463.912491,168150.153364
2019,159950.902491,181103.389648
2020,168650.662491,186836.612646
2021,174812.992491,190710.022248
2022,179525.362491,193527.323211
2023,182787.772491,195288.140303
2024,185325.202491,196528.166419
2025,188587.612491,198319.162374
2026,192575.002491,200660.778701
2027,195837.412491,202480.555463
2028,198737.332491,204046.189048
2029,202362.232491,206161.44299
2030,204537.172491,207217.821455
2031,208524.562491,209627.281055
2032,,
2033,,
2034,,
2035,,
2036,,
