year,Base case cost,Chenega bay hydroelectric construction -- anderson creek,South lake creek (chenega bay),Chenega bay -- anderson creek,Thumb bay (unnamed creek),"New chenega (crab bay, chenega bay) -- unnamed creek, near crab bay",Hayden lake
2018,66036.6726882,177272.622283,,,,,
2019,77453.1822038,182525.830706,,,,,
2020,82515.4488158,183356.581402,,,,,
2021,86306.6991667,183461.378224,319180.974952,143703.581121,506431.817764,147281.444002,276660.329584
2022,89205.8906116,183009.975598,313219.839146,142572.917722,498272.816296,146893.142449,274715.626759
2023,91213.0231504,182000.995292,307321.384374,141154.151183,489962.132467,146056.072416,272181.09974
2024,92774.1262361,180740.593094,301523.879546,139616.323873,481680.213057,145016.946647,269398.349219
2025,94781.2587748,179842.458014,295907.366151,138298.778399,473793.216758,144270.314495,267052.92656
2026,97234.4207667,179305.306482,290468.579333,137200.34263,466296.237307,143815.128697,265142.641954
2027,99241.5533054,178512.881627,285120.946167,135979.329078,458813.300892,143154.744822,262977.563254
2028,101025.671118,177617.710216,279882.199234,134719.755636,451432.524234,142412.069565,260727.550535
2029,102867.638615,176691.669595,274423.656636,133287.758046,444039.54525,141569.664124,258518.229896
2030,104200.696566,175582.416407,269388.601172,131942.78512,436844.456921,140654.472552,256087.248301
2031,106644.636145,175285.226889,264574.40725,131062.675875,430290.721294,140393.372255,254592.855325
2032,109088.575723,175034.425474,259878.20426,130224.927096,423914.296593,140170.119719,253177.601494
2033,111754.691627,174981.837418,255317.234503,129512.843252,417802.984278,140106.894903,252010.741978
2034,114420.80753,174973.488509,250868.789694,128841.157504,411860.768876,140079.764534,250919.35545
2035,115976.041807,174243.779679,246430.19365,127787.436441,405623.900791,139472.547463,249046.122845
2036,118864.334036,174473.735269,242218.956331,127278.025875,400100.039635,139638.154932,248271.527035
2037,120419.568313,173827.417124,237992.469408,126300.455078,394181.918625,139098.975762,246540.560741
2038,123085.684217,173985.89647,233968.362098,125781.11268,388877.37659,139207.959448,245733.786823
2039,125307.44747,173877.843192,230004.18148,125129.056372,383539.108248,139102.867372,244651.826327
2040,127711.982191,173783.141097,225713.866446,124281.174243,378139.622324,138914.525818,243664.900759
2041,127711.982191,172221.806755,221742.520307,122855.403075,372171.680152,137640.643523,241001.230462
2042,127711.982191,170697.066191,217864.252591,121463.048418,366343.61162,136396.617844,238399.989936
2043,127711.982191,169208.061733,214076.881791,120103.327078,360652.138468,135181.749021,235859.715995
2044,127711.982191,167753.955821,210378.277479,118775.474203,355094.059197,133995.353683,233378.979715
2045,127711.982191,166333.930516,206766.35922,117478.742884,349666.24743,132836.764489,230956.385702
2046,127711.982191,164947.18704,203239.095291,116212.403703,344365.649995,131705.329728,228590.571232
2047,127711.982191,163592.945375,199794.501618,114975.744351,339189.285324,130600.412972,226280.205544
2048,127711.982191,162270.44375,196430.64061,113768.069202,334134.241701,129521.392703,224023.989053
2049,127711.982191,160978.938256,193145.620063,112588.698928,329197.675616,128467.661961,221820.652615
2050,127711.982191,159717.702427,189937.592207,111436.970153,324376.810332,127438.628041,219668.956889
2051,127711.982191,158486.026803,186804.752509,110312.235022,319668.934084,126433.712104,217567.691535
2052,127711.982191,157283.218579,183745.338739,109213.860871,315071.398684,125452.348885,215515.674586
2053,127711.982191,156108.601175,180757.629991,108141.229868,310581.618036,124493.986369,213511.751792
2054,127711.982191,154961.513867,177839.945641,107093.738645,306197.066585,123558.085467,211554.795922
2055,127711.982191,153841.311414,174990.644528,106070.798001,301915.278072,122644.119745,209643.706211
2056,127711.982191,152747.363714,172208.123912,105071.832529,297733.843982,121751.575095,207777.407668
2057,127711.982191,151679.055407,169490.818627,104096.280311,293650.412259,120879.949462,205954.850498
2058,127711.982191,150635.785576,166837.200174,103143.592595,289662.68595,120028.752551,204175.009506
2059,127711.982191,149616.967383,164245.775924,102213.233505,285768.422008,119197.505575,202436.88355
2060,127711.982191,148622.027737,161715.088163,101304.6797,281965.429852,118385.740944,200739.49491
2061,127711.982191,147650.406999,159243.713398,100417.420125,278251.570327,117593.002047,199081.888818
2062,127711.982191,146701.558614,156830.26148,99550.9556974,274624.754386,116818.842969,197463.132869
2063,127711.982191,145774.948861,154473.374835,98704.7990268,271082.941933,116062.828242,195882.316508
2064,127711.982191,144870.056531,152171.727741,97878.4741609,267624.140742,115324.532616,194338.550544
2065,127711.982191,143986.372608,149924.025484,97071.5162778,264246.405178,114603.540789,192830.966584
2066,127711.982191,143123.400029,147729.003742,96283.4714675,260947.83528,113899.447205,191358.716618
2067,127711.982191,142280.653372,145585.427839,95513.8964638,257726.57564,113211.855821,189920.972523
2068,127711.982191,142280.653372,143492.091979,94762.3583681,254580.814248,112540.379854,188516.925543
2069,127711.982191,142280.653372,141447.818684,94028.4344486,251508.781647,111884.641607,187145.785918
2070,127711.982191,142280.653372,139451.45805,93311.7118729,248508.749818,111244.272226,185806.782382
