year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,55608.0,39668.4052104
2018,55608.0,39668.4052104
2019,55608.0,39668.4052104
2020,55608.0,39668.4052104
2021,55608.0,39668.4052104
2022,55608.0,39668.4052104
2023,55608.0,39668.4052104
2024,55608.0,39668.4052104
2025,55608.0,39668.4052104
2026,55608.0,39668.4052104
2027,55608.0,39668.4052104
2028,55608.0,39668.4052104
2029,55608.0,39668.4052104
2030,55608.0,39668.4052104
2031,55608.0,39668.4052104
2032,,
2033,,
2034,,
2035,,
2036,,
