year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,117126.81,0.0,55607.67,35927.3
2018,118587.67,0.0,55607.67,35927.3
2019,120220.4,0.0,55607.67,34359.49
2020,122025.0,0.0,55607.67,34359.49
2021,123571.79,0.0,55607.67,34359.49
2022,125204.52,0.0,55607.67,32791.68
2023,127009.11,0.0,55607.67,32791.68
2024,128727.78,0.0,55607.67,32791.68
2025,130360.51,0.0,55607.67,31223.87
2026,132079.17,0.0,55607.67,31223.87
2027,133625.96,0.0,55607.67,31223.87
2028,135000.89,0.0,55607.67,29656.06
2029,137063.29,0.0,55607.67,29656.06
2030,139125.68,0.0,55607.67,29656.06
2031,140672.48,0.0,55607.67,28088.25
2032,141875.54,,,28088.25
2033,142820.8,,,28088.25
2034,143937.93,,,28088.25
2035,145226.93,,,26520.44
2036,146429.99,,,26520.44
