year,Base case diesel consumed,Modeled residential ashp
2017,49948.8369038,14021.5397561
2018,49948.8369038,14021.5397561
2019,47769.1501613,11841.8530136
2020,47769.1501613,11841.8530136
2021,47769.1501613,11841.8530136
2022,45589.4634187,9662.16627104
2023,45589.4634187,9662.16627104
2024,45589.4634187,9662.16627104
2025,43409.7766762,7482.4795285
2026,43409.7766762,7482.4795285
2027,43409.7766762,7482.4795285
2028,41230.0899337,5302.79278596
2029,41230.0899337,5302.79278596
2030,41230.0899337,5302.79278596
2031,39050.4031911,3123.10604342
