year,Base case cost,Modeled biomass for heat (pellet)
2017,160293.419568,186926.045558
2018,175307.579568,197636.514965
2019,196438.619568,212710.508945
2020,206448.059568,219850.821883
2021,213677.099568,225007.71456
2022,218681.819568,228577.871029
2023,222574.379568,231354.659394
2024,225354.779568,233338.079654
2025,229247.339568,236114.868019
2026,233695.979568,239288.340436
2027,237588.539568,242065.1288
2028,240368.939568,244048.549061
2029,244817.579568,247222.021478
2030,247041.899568,248808.757686
2031,252046.619568,252378.914155
2032,,
2033,,
2034,,
2035,,
2036,,
