year,Base case cost,Modeled biomass for heat (cordwood)
2017,160293.419568,216057.839483
2018,175307.579568,227159.55349
2019,196438.619568,242784.188017
2020,206448.059568,250185.330688
2021,213677.099568,255530.600394
2022,218681.819568,259231.17173
2023,222574.379568,262109.393879
2024,225354.779568,264165.266844
2025,229247.339568,267043.488993
2026,233695.979568,270332.885736
2027,237588.539568,273211.107886
2028,240368.939568,275266.98085
2029,244817.579568,278556.377592
2030,247041.899568,280201.075964
2031,252046.619568,283901.647299
2032,,
2033,,
2034,,
2035,,
2036,,
