year,Base case diesel consumed,Modeled residential ashp
2017,90592.5410218,25430.9608448
2018,88965.9528479,23804.372671
2019,87339.3646741,22177.7844972
2020,85712.7765003,20551.1963233
2021,85712.7765003,20551.1963233
2022,84086.1883265,18924.6081495
2023,82459.6001527,17298.0199757
2024,80833.0119789,15671.4318019
2025,79206.423805,14044.8436281
2026,77579.8356312,12418.2554543
2027,75953.2474574,10791.6672805
2028,74326.6592836,9165.07910664
2029,72700.0711098,7538.49093282
2030,71073.482936,5911.90275901
2031,69446.8947622,4285.31458519
