year,Base case cost,Modeled diesel efficiency
2019,673780.402077,920993.843164
2020,716803.211516,960105.488108
2021,745912.404695,986568.390998
2022,768436.573312,1007044.90792
2023,784095.662878,1021280.44389
2024,797492.601067,1033459.47861
2025,815340.458746,1049684.80377
2026,829775.994737,1062808.01831
2027,844265.444962,1075980.24579
2028,858772.866597,1089168.81091
2029,876471.711326,1105258.66975
2030,887218.615182,1115028.58235
2031,903572.599311,1129895.84065
2032,920169.9463,1144984.33791
2033,938504.529697,1161652.141
2034,957442.652985,1178868.61672
2035,973917.944139,1193846.15413
2036,998967.096021,1216618.11039
2037,1011685.61344,1228180.39895
2038,1033787.4539,1248272.98118
