year,Base case diesel consumed,Togiak (quigmy river),Togiak (kurtluk river)
2021,230932.633032,91720.3533278,121367.412905
2022,231456.79919,92244.5194857,121891.579063
2023,231980.965348,92768.6856437,122415.745221
2024,232505.131506,93292.8518017,122939.911379
2025,232954.416785,93742.13708,123389.196657
2026,232430.250627,93217.970922,122865.030499
2027,232580.012386,93367.7326814,123014.792258
2028,232729.774146,93517.4944409,123164.554018
2029,233104.178544,93891.8988394,123538.958416
2030,233478.582943,94266.303238,123913.362815
2031,232879.535905,93667.2562003,123314.315777
2032,232954.416785,93742.13708,123389.196657
2033,232879.535905,93667.2562003,123314.315777
2034,232954.416785,93742.13708,123389.196657
2035,233553.463822,94341.1841177,123988.243695
2036,235051.081417,95838.8017119,125485.861289
2037,235275.724056,96063.4443511,125710.503928
2038,236024.532853,96812.2531482,126459.312725
2039,236548.699011,97336.4193062,126983.478883
2040,237372.388688,98160.108983,127807.16856
2041,239543.934199,100331.654495,129978.714072
2042,240592.266515,101379.986811,131027.046387
2043,241266.194433,102053.914728,131700.974305
2044,241865.24147,102652.961766,132300.021343
2045,243512.620824,104300.341119,133947.400696
2046,244860.476659,105648.196954,135295.256531
2047,246732.498652,107520.218947,137167.278524
2048,248529.639765,109317.36006,138964.419637
2049,250776.066156,111563.786451,141210.846028
2050,253172.254307,113959.974602,143607.034179
