year,annotation,diesel generation efficiency
2002,,13.12
2003,,12.5
2004,,12.98
2005,,14.03
2006,,14.08
2007,,14.02
2008,,14.34
2009,,13.16
2010,,13.59
2011,,13.66
2012,,13.18
2013,,13.22
2016,start of forecast,13.35
2017,,13.35
2018,,13.35
2019,,13.35
2020,,13.35
2021,,13.35
2022,,13.35
2023,,13.35
2024,,13.35
2025,,13.35
2026,,13.35
2027,,13.35
2028,,13.35
2029,,13.35
2030,,13.35
2031,,13.35
2032,,13.35
2033,,13.35
2034,,13.35
2035,,13.35
2036,,13.35
2037,,13.35
2038,,13.35
2039,,13.35
2040,,13.35
